client_id,client_size,count_0,count_1,count_2,count_3,count_4,count_5,count_6,count_7,prop_0,prop_1,prop_2,prop_3,prop_4,prop_5,prop_6,prop_7
0,176,0,2,174,0,0,0,0,0,0.0,0.011363636363636364,0.9886363636363636,0.0,0.0,0.0,0.0,0.0
1,239,0,6,0,1,0,0,215,17,0.0,0.02510460251046025,0.0,0.0041841004184100415,0.0,0.0,0.899581589958159,0.07112970711297072
2,71,0,0,0,5,0,0,66,0,0.0,0.0,0.0,0.07042253521126761,0.0,0.0,0.9295774647887324,0.0
3,179,0,2,0,120,0,0,57,0,0.0,0.0111731843575419,0.0,0.6703910614525139,0.0,0.0,0.31843575418994413,0.0
4,72,31,0,0,2,0,0,38,1,0.4305555555555556,0.0,0.0,0.027777777777777776,0.0,0.0,0.5277777777777778,0.013888888888888888
5,98,3,0,0,8,0,0,85,2,0.030612244897959183,0.0,0.0,0.08163265306122448,0.0,0.0,0.8673469387755102,0.02040816326530612
6,144,0,9,134,1,0,0,0,0,0.0,0.0625,0.9305555555555556,0.006944444444444444,0.0,0.0,0.0,0.0
7,122,0,0,0,28,0,0,92,2,0.0,0.0,0.0,0.22950819672131148,0.0,0.0,0.7540983606557377,0.01639344262295082
8,206,0,0,0,0,196,10,0,0,0.0,0.0,0.0,0.0,0.9514563106796117,0.04854368932038835,0.0,0.0
9,184,1,0,0,4,0,0,71,108,0.005434782608695652,0.0,0.0,0.021739130434782608,0.0,0.0,0.3858695652173913,0.5869565217391305
10,601,0,4,377,216,0,0,3,1,0.0,0.0066555740432612314,0.627287853577371,0.3594009983361065,0.0,0.0,0.004991680532445923,0.0016638935108153079
11,203,0,68,0,0,0,0,89,46,0.0,0.33497536945812806,0.0,0.0,0.0,0.0,0.43842364532019706,0.22660098522167488
12,73,0,3,0,0,0,0,65,5,0.0,0.0410958904109589,0.0,0.0,0.0,0.0,0.8904109589041096,0.0684931506849315
13,174,0,0,0,2,0,0,172,0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.9885057471264368,0.0
14,86,0,23,0,3,0,0,0,60,0.0,0.26744186046511625,0.0,0.03488372093023256,0.0,0.0,0.0,0.6976744186046512
15,104,0,71,1,0,0,0,32,0,0.0,0.6826923076923077,0.009615384615384616,0.0,0.0,0.0,0.3076923076923077,0.0
16,73,0,67,0,0,0,0,0,6,0.0,0.9178082191780822,0.0,0.0,0.0,0.0,0.0,0.0821917808219178
17,80,0,0,63,12,5,0,0,0,0.0,0.0,0.7875,0.15,0.0625,0.0,0.0,0.0
18,91,0,22,0,69,0,0,0,0,0.0,0.24175824175824176,0.0,0.7582417582417582,0.0,0.0,0.0,0.0
19,144,0,0,0,0,0,140,0,4,0.0,0.0,0.0,0.0,0.0,0.9722222222222222,0.0,0.027777777777777776
20,212,0,0,2,0,0,0,210,0,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.9905660377358491,0.0
