client_id,client_size,count_0,count_1,count_2,count_3,count_4,count_5,count_6,count_7,prop_0,prop_1,prop_2,prop_3,prop_4,prop_5,prop_6,prop_7
0,176,78,12,0,8,0,0,26,52,0.4431818181818182,0.06818181818181818,0.0,0.045454545454545456,0.0,0.0,0.14772727272727273,0.29545454545454547
1,239,0,66,0,40,0,0,21,112,0.0,0.27615062761506276,0.0,0.16736401673640167,0.0,0.0,0.08786610878661087,0.4686192468619247
2,71,0,22,13,0,0,0,7,29,0.0,0.30985915492957744,0.18309859154929578,0.0,0.0,0.0,0.09859154929577464,0.4084507042253521
3,179,0,29,0,27,0,0,60,63,0.0,0.16201117318435754,0.0,0.15083798882681565,0.0,0.0,0.33519553072625696,0.35195530726256985
4,72,0,7,2,2,0,19,40,2,0.0,0.09722222222222222,0.027777777777777776,0.027777777777777776,0.0,0.2638888888888889,0.5555555555555556,0.027777777777777776
5,98,16,4,25,6,23,0,1,23,0.16326530612244897,0.04081632653061224,0.25510204081632654,0.061224489795918366,0.23469387755102042,0.0,0.01020408163265306,0.23469387755102042
6,144,0,59,12,6,0,0,26,41,0.0,0.4097222222222222,0.08333333333333333,0.041666666666666664,0.0,0.0,0.18055555555555555,0.2847222222222222
7,122,0,30,14,1,0,0,67,10,0.0,0.2459016393442623,0.11475409836065574,0.00819672131147541,0.0,0.0,0.5491803278688525,0.08196721311475409
8,206,0,60,0,103,33,10,0,0,0.0,0.2912621359223301,0.0,0.5,0.16019417475728157,0.04854368932038835,0.0,0.0
9,184,0,10,0,35,0,31,97,11,0.0,0.05434782608695652,0.0,0.19021739130434784,0.0,0.16847826086956522,0.5271739130434783,0.059782608695652176
10,601,0,382,0,69,0,0,123,27,0.0,0.6356073211314476,0.0,0.11480865224625623,0.0,0.0,0.20465890183028287,0.04492512479201331
11,203,0,68,0,3,90,0,19,23,0.0,0.33497536945812806,0.0,0.014778325123152709,0.4433497536945813,0.0,0.09359605911330049,0.11330049261083744
12,73,0,20,12,1,0,0,14,26,0.0,0.273972602739726,0.1643835616438356,0.0136986301369863,0.0,0.0,0.1917808219178082,0.3561643835616438
13,174,0,69,27,6,0,65,3,4,0.0,0.39655172413793105,0.15517241379310345,0.034482758620689655,0.0,0.3735632183908046,0.017241379310344827,0.022988505747126436
14,86,0,2,3,4,0,17,48,12,0.0,0.023255813953488372,0.03488372093023256,0.046511627906976744,0.0,0.19767441860465115,0.5581395348837209,0.13953488372093023
15,104,0,28,0,15,0,0,44,17,0.0,0.2692307692307692,0.0,0.14423076923076922,0.0,0.0,0.4230769230769231,0.16346153846153846
16,73,0,46,0,6,0,0,14,7,0.0,0.6301369863013698,0.0,0.0821917808219178,0.0,0.0,0.1917808219178082,0.0958904109589041
17,80,0,3,11,4,0,0,26,36,0.0,0.0375,0.1375,0.05,0.0,0.0,0.325,0.45
18,91,0,19,16,1,0,0,15,40,0.0,0.2087912087912088,0.17582417582417584,0.01098901098901099,0.0,0.0,0.16483516483516483,0.43956043956043955
19,144,7,0,0,66,0,24,44,3,0.04861111111111111,0.0,0.0,0.4583333333333333,0.0,0.16666666666666666,0.3055555555555556,0.020833333333333332
20,212,0,10,26,27,0,0,77,72,0.0,0.04716981132075472,0.12264150943396226,0.12735849056603774,0.0,0.0,0.3632075471698113,0.33962264150943394
21,89,0,32,0,26,0,0,9,22,0.0,0.3595505617977528,0.0,0.29213483146067415,0.0,0.0,0.10112359550561797,0.24719101123595505
22,136,0,6,27,8,0,68,16,11,0.0,0.04411764705882353,0.19852941176470587,0.058823529411764705,0.0,0.5,0.11764705882352941,0.08088235294117647
23,192,0,0,0,72,0,0,39,81,0.0,0.0,0.0,0.375,0.0,0.0,0.203125,0.421875
24,156,0,21,0,82,4,38,3,8,0.0,0.1346153846153846,0.0,0.5256410256410257,0.02564102564102564,0.24358974358974358,0.019230769230769232,0.05128205128205128
25,100,0,10,16,3,40,0,16,15,0.0,0.1,0.16,0.03,0.4,0.0,0.16,0.15
26,71,0,2,0,16,0,11,37,5,0.0,0.028169014084507043,0.0,0.22535211267605634,0.0,0.15492957746478872,0.5211267605633803,0.07042253521126761
27,134,0,9,0,27,0,40,58,0,0.0,0.06716417910447761,0.0,0.20149253731343283,0.0,0.29850746268656714,0.43283582089552236,0.0
28,118,32,1,0,13,0,23,40,9,0.2711864406779661,0.00847457627118644,0.0,0.11016949152542373,0.0,0.19491525423728814,0.3389830508474576,0.07627118644067797
29,118,28,0,0,40,0,23,24,3,0.23728813559322035,0.0,0.0,0.3389830508474576,0.0,0.19491525423728814,0.2033898305084746,0.025423728813559324
30,114,26,20,19,1,0,0,38,10,0.22807017543859648,0.17543859649122806,0.16666666666666666,0.008771929824561403,0.0,0.0,0.3333333333333333,0.08771929824561403
31,70,13,3,0,27,19,0,1,7,0.18571428571428572,0.04285714285714286,0.0,0.38571428571428573,0.2714285714285714,0.0,0.014285714285714285,0.1
32,75,0,21,0,19,26,0,5,4,0.0,0.28,0.0,0.25333333333333335,0.3466666666666667,0.0,0.06666666666666667,0.05333333333333334
33,259,0,31,24,13,0,0,151,40,0.0,0.11969111969111969,0.09266409266409266,0.05019305019305019,0.0,0.0,0.583011583011583,0.15444015444015444
34,70,0,14,0,15,14,7,1,19,0.0,0.2,0.0,0.21428571428571427,0.2,0.1,0.014285714285714285,0.2714285714285714
35,81,27,15,13,7,9,4,1,5,0.3333333333333333,0.18518518518518517,0.16049382716049382,0.08641975308641975,0.1111111111111111,0.04938271604938271,0.012345679012345678,0.06172839506172839
36,109,0,37,0,2,0,0,12,58,0.0,0.3394495412844037,0.0,0.01834862385321101,0.0,0.0,0.11009174311926606,0.5321100917431193
37,152,0,56,25,9,0,0,30,32,0.0,0.3684210526315789,0.16447368421052633,0.05921052631578947,0.0,0.0,0.19736842105263158,0.21052631578947367
38,234,0,56,0,145,0,26,1,6,0.0,0.23931623931623933,0.0,0.6196581196581197,0.0,0.1111111111111111,0.004273504273504274,0.02564102564102564
