client_id,client_size,count_akiec,count_bcc,count_bkl,count_df,count_mel,count_nv,count_vasc,prop_akiec,prop_bcc,prop_bkl,prop_df,prop_mel,prop_nv,prop_vasc
0,113,0,0,0,0,0,113,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,150,0,75,13,0,51,11,0,0.0,0.5,0.08666666666666667,0.0,0.34,0.07333333333333333,0.0
2,51,0,0,0,0,0,51,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,116,0,0,13,0,0,103,0,0.0,0.0,0.11206896551724138,0.0,0.0,0.8879310344827587,0.0
4,51,4,0,0,0,6,41,0,0.0784313725490196,0.0,0.0,0.0,0.11764705882352941,0.803921568627451,0.0
5,68,0,6,41,0,7,14,0,0.0,0.08823529411764706,0.6029411764705882,0.0,0.10294117647058823,0.20588235294117646,0.0
6,76,0,0,0,0,9,67,0,0.0,0.0,0.0,0.0,0.11842105263157894,0.881578947368421,0.0
7,81,0,0,0,0,12,69,0,0.0,0.0,0.0,0.0,0.14814814814814814,0.8518518518518519,0.0
8,140,11,2,0,10,10,0,107,0.07857142857142857,0.014285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.0,0.7642857142857142
9,113,0,0,49,0,0,64,0,0.0,0.0,0.4336283185840708,0.0,0.0,0.5663716814159292,0.0
10,368,0,0,0,0,2,366,0,0.0,0.0,0.0,0.0,0.005434782608695652,0.9945652173913043,0.0
11,115,0,0,0,0,16,99,0,0.0,0.0,0.0,0.0,0.1391304347826087,0.8608695652173913,0.0
12,51,0,0,4,0,13,34,0,0.0,0.0,0.0784313725490196,0.0,0.2549019607843137,0.6666666666666666,0.0
13,113,0,0,14,0,19,80,0,0.0,0.0,0.12389380530973451,0.0,0.168141592920354,0.7079646017699115,0.0
14,63,0,6,15,26,4,12,0,0.0,0.09523809523809523,0.23809523809523808,0.4126984126984127,0.06349206349206349,0.19047619047619047,0.0
15,68,0,0,0,0,27,41,0,0.0,0.0,0.0,0.0,0.39705882352941174,0.6029411764705882,0.0
